file_name,title,etitle,jabstract,eabstract,section_names,sec_intro,sec_method,sec_result,sec_conclusion,abs_intro,abs_method,abs_result,abs_conclusion
V01N01-01.tex,表層表現中の情報に基づく文章構造の自動抽出,Automatic Detection of Discourse Structure by Checking Surface Information in Sentences,"テキストや談話を理解するためには，まずその文章構造を理解する必要があ
る．文章構造に関する従来の多くの研究では，解析に用いられる知識の問題
に重点がおかれていた．しかし，量的/質的に十分な計算機用の知識が作成さ
れることはしばらくの間期待できない．本論文では，知識に基づく文理解と
いう処理を行なわずに，表層表現中の種々の情報を用いることにより科学技
術文の文章構造を自動的に推定する方法を示す．表層表現中の情報としては，
種々の手がかり表現，同一/同義の語/句の出現，2文間の類似性，の3つのも
のに着目した．実験の結果これらの情報を組み合わせて利用することにより
科学技術文の文章構造のかなりの部分が自動的に推定可能であることがわかっ
た．","To understand a text or dialogue, one must track the discourse
structure. While work on discourse structure has mainly focused on
knowledge employed in the analysis, detailed knowledge with broad
coverage availability to computers is unlikely to be constructed for
the present. In this paper, we propose an automatic method for
detecting discourse structure by a variety of keys existing in the
surface information of sentences. We have considered three types of
clue information: clue expressions, occurrence of identical/synonymous
words/phrases, and similarity between two sentences. Experimental
results have shown that, in the case of scientific and technical
texts, considerable part of the discourse structure can be estimated
by incorporating the three types of clue information, without
performing sentence understanding processes by giving knowledge to
computers.","['はじめに', '文章構造のモデルと結束関係', '文章構造の自動抽出', '実験と考察', '結論', '実験テキスト', '手がかり表現のルール']",,,,,,,,
V01N01-02.tex,,A Comparative Study of Automatic Extraction of Collocations from Corpora: Mutual Information vs. Cost Criteria,,"While corpus-based studies are now becoming a new methodology
in natural language processing,
second language learning offers one interesting potential application.
In this paper, we are primarily concerned with the acquisition
of collocational knowledge from corpora
for use in language learning.
First we discuss the importance of collocational knowledge
in second language learning,
and then take up two measures, mutual information and cost criteria,
for automatically identifying or extracting collocations from corpora.
Comparative experiments are made between the two measures
using both Japanese and English corpora.
In our experiments,
the cost criteria measure proved more effective in extracting interesting collocations
such as fundamental idiomatic expressions and phrases.","['Introduction', 'Importance of Collocational Knowledge in Language Learning', 'Extracting Collocations from Corpora', 'Experiments and Discussions', 'Conclusion']",,,,,,,,
V01N01-03.tex,並列構造の検出に基づく長い日本語文の構文解析,A Syntactic Analysis Method of Long Japanese Sentences based on Coordinate Structures' Detection,"従来の構文解析法は十分な精度の解析結果を得ることができず，とくに
長い文の解析が困難であった．
このことは従来の方式が局所的な解析を基本としていたことに原因があり，
これを解決するためには文内のできるだけ広い範囲を同時的に調べることが
必要である．
我々は，すでに，このような考え方に基づき，長い文の中に多く存在する並列構造が
文節列同士の類似性を発見するという手法でうまく検出できることを示した．
本論文では，そのようにして検出した並列構造の情報を利用して
構文解析を行なう手法を示す．
長い日本語文の場合は1文内に複数の並列構造が存在する
ことも多い． そこでまず，文内の並列構造相互間の位置関係を調べ，
それらの入れ子構造などを整理する．
多くの場合，並列構造の情報を整理した形で利用できれば，
文を簡単化した形でとらえることができる．
そこで，簡単化した各部分に対して単純な係り受け解析を行ない，
その結果を組み合わせることによって文全体の依存構造を求める
ことが可能となる． 各部分の係り受け解析としては，基本的に，
係り受け関係の非交差条件を満たした上で各文節が係り得る最も近い
文節に係るという優先規則によって決定論的に動作する処理を考えた．
150文に対して実験を行なったところ，
96\%の文節について正しい係り先を求めることができた．","Conventional parsing methods can not analyze long sentences precisely, 
since these methods consider no information in a wide-range series of words  
in a sentence.
We have succeeded in developing a method of detecting coordinate structures 
by a similarity measure of two arbitrary series of words.
This paper describes a method of parsing a sentence
by using the information of coordinate structures.
A long sentence can be reduced into a shorter form by recognizing 
coordinate structures in it.
Consequently the total dependency structure of a sentence can be 
obtained by relatively simple modifier/modifiee rules.
We report the results of analyzing 150 Japanese sentences 
to illustrate the effectiveness of this method.","['はじめに', '並列構造の検出と文の簡単化', '係り受け解析', '文解析の結果とその評価', 'おわりに']",,,,,,,,
V01N01-04.tex,,A System for Finding Translation Patterns by Comparing an MT Result and Its Correction,,"When the example-based approach is used for machine
  translation, it is important to collect a large volume of
  translation patterns, because most systems use as a translation
  example a pair of parsed structures in the source and target
  languages. Such parsed translation pairs are hard to collect. This
  paper describes a system for finding parsed translation pairs (or
  translation patterns) that are valid for the translation pattern
  base by comparing wrong translations and corresponding correct
  translations.","['Introduction', 'System Overview', 'Example-Based Transfer System', 'Mapper', 'Pattern Extractor', 'Example', 'Discussion', 'Conclusion']",,,,,,,,
V02N01-01.tex,日英機械翻訳における利用者登録語の意味属性の自動推定,Automatic Determination of Semantic Attributes for User Defined Words in Japanese to English Machine Translation,"機械翻訳システムを使用して現実の文書を翻訳する場合, 通常, 
翻訳対象文書に合った利用者辞書が必要となる. 特に, 
高品質翻訳を狙った機械翻訳システムでは, 各単語に対して, 約2,000種
以上の分解精度を持つ単語意味属性の付与が必要であると言われており, 一般
の利用者が, このような精密な情報を付与するのは困難であった.  
そこで本論文では, 利用者が登録したい日本語名詞 (複合名詞を含む) と
英語訳語を与えるだけで, システムがシステム辞書の知識を応用して, 名詞
種別を自動的に判定し, それに応じた単語の意味属性を付与する
方法を提案する. 本方式を, 新聞記事102文とソフトウエア設計書105文
の翻訳に必要な利用者辞書作成に適用した結果, 自動推定方式では, 
専門家の付与した意味属性よりも多くの属性が付与されるが, 40〜80\%の
再現率が得られることが分かった. また, 人手で作成した利用者辞書を使用す
る場合と同等の訳文品質が得られることが分かった. 以上の結果, 利用者辞書
作成への単語の登録において, 最も熟練度の要求される単語意味属性付与作業
を自動化できる見通しとなった.","User dictionaries are important for practical machine
  translation.  However it is difficult for users to enter the
  detailed semantic attributes that a system may require. This paper
  proposes a method of automatically determining semantic attributes
  for noun pairs entered by users. The method compares the Japanese
  and English words with words already in the system dictionary. When
  this method was applied to words in two user dictionaries (for
  newspaper articles and software manuals) it generated more
  attributes than trained humans did, with a recall rate of 40--80\%.
  Evaluation showed that translations using the machine-made
  dictionary were similar in quality to translations using the
  human-made dictionary.  Thus automatic determination of semantic
  attributes removes the need for highly trained lexographers to make
  user dictionaries.","['はじめに', 'システム辞書と利用者辞書', '意味属性推定の方法', '意味属性推定精度の評価', '訳文品質の向上効果', 'あとがき']",,,,,,,,
V02N01-02.tex,"主観的動機に関する意味および語用論的制約を利用した \\ 日本語複文
の理解システム \\ 〜「ので」「のに」による接続を中心として〜","A zero anaphora resolution system \\ for Japanese complex
sentences \\ based on semantic and pragmatic constraints","我々は，接続助詞「ので」による順接の複文と接続助詞「のに」による逆接の複
文を対象とする理解システムを計算機上に構築することを目的とする．この際に
は，ゼロ代名詞の照応の解析が重要な問題となるが，文献\cite{中川:複文の意
味論,COLING94","Our aim is to construct a system which is able to deal with semantics of
Japanese complex sentences.  One of the most important problem to be
solved is the zero anaphora resolution.  According to (Nakagawa, 1994;
Nakagawa \& Nishizawa, 1994), we can use a new pragmatic role called
{\it motivated\/","['はじめに', '日本語複文に関する制約および素性構造による表現', '制約変換による日本語複文の意味解析システム', 'おわりに']",,,,,,,,
V02N01-03.tex,文章内構造を複合的に利用した論説文要約システムGREEN,GREEN: An Experimental System Generating Summary of Japanese Editorials by Combining Multiple Discourse Characteristics,"日本語文章要約システム\G について報告する. 一般に, 質の良い文章要約を
行うためには, ある一つの言語現象だけをとらえた談話解析だけでは不十分
である. なぜなら, 談話に関わる言語現象は相互に関連しているからである. 
本研究ではこの観点から, 日本語での様々な表層的特徴をできるだけ多く利用
して, 日本語文章の要約を試みる. 本稿では実際に計算機上で試作した論説文
要約システム\G に関して, これで用いられている論説文要約の手法の紹介と, 
これによって出力された文章の評価を行う.","This paper describes an experimental system \G \ for summarizing
Japanese texts. Analyzing several aspects of discourse phenomena is in
general indispensable to make a summary of good quality because each
linguistic phenomenon mutually affects in a complex manner. From this
point of view, we have developed a system \G, which is capable of
summarizing Japanese editorial newspaper articles. This system uses
several surface linguistic characteristics appeared in Japanese texts.
We evaluate the performance of the system using a method of
questionnaire where human subjects evaluate the quality of the
summaries generated by the system.","['はじめに', 'システム構成', '要約文選択', '文要約解析', '段落分け解析', '評価', '議論', 'おわりに']",,,,,,,,
V02N01-04.tex,動詞の長さの分布に基づいた文章の分類と和語\\及び合成語の比率,"Classification of Sentences \\by Word-length Distribution of
Verbs\\ with Proportions of Japanese Words\\ and those of Compound Words","文章(テキスト)の執筆者の推定問題などに対して，文章の内容や成立に関す
る歴史的事実の考証とは別に，文章から著者の文体の計量的な特徴を抽出し，
その統計分析によって問題解決を試みる研究が多くの人々の注目をあつめつ
つある．文章に関するどのような要素に著者の特徴が現れるかについて，欧米
文に関してはいくつかの研究の例があるが，それは言語によって異なるとも
考えられるため，欧米文に関する研究成果が日本文の場合にもあてはまるか
について実証的な研究が必要である．また，各言語はその言語における著者の
特徴を表す独特な要素があることも考えられる．本論文では，今まで明らかに
されていない，日本文における動詞の長さの分布に著者の特徴が現れること
と，その結果が動詞中の漢語・和語，合成語・非合成語の使用率の影響では
ないことを著者3人の計21の文章を用いて明らかにした．計量分析の手法とし
ては，同一著者の文章における動詞の長さの分布間の距離の平均値と，異な
る著者の文章における動詞の長さの分布の距離の平均値との差，および距離
マトリックスを用いて主成分分析を行うという方法を用いて数量・視覚的文
章の分類を試みた．","For the identification of a unknown author of a certain literature,
it is significant to find the main elements of writing styles which 
characterize authors or distinguish them.  It was previously  known that the 
authors' writing styles are characterized in  distributions fo lengths of words  are categorized by parts of speech. This paper presents a quantitative analysis of the classification of sentences by word-length distribution of verbs, and the   
relationships between writing styles in word-length distribution  of verbs and the proportions of Japanese words and Chinese words  or those of compound words and non-compound words in verbs. This analysis shows that word-length distribution of verbs characterizes writing styles even where there are no differences in the proportions of Japanese words and Chinese words or those of compound words and non-compound words.","['まえがき', '単語の長さの分布に基づいた文章の分類', '動詞における和語・漢語, 合成語・非合成語の比率', 'むすび']",,,,,,,,
V02N02-01.tex,記述された「併置型駄洒落」の音素上の性質,Several Phonemic Features of Written Puns,"比喩の一種である「駄洒落」は, 言語記号(音声)とその記号が表
す概念の意味との両方に, 比喩を成立させる「根拠(ground)」(比喩における
被喩辞(tenor)と喩辞(vehicle)とを結びつける関係)があるという点で, 高度
な修辞表現に位置づけられる. 筆者らは, 「併置型」と呼ぶ駄洒落の一種(例
「トイレに行っといれ」)を, 外国語専攻の大学生54名に筆記によって創作さ
せ, 203個を収集した. そしてこのデータに対して, 駄洒落理解システムの構
築に必要な知見を得るという観点から, 「先行喩辞」(例では「トイレ」)と
「後続喩辞」(例では「....といれ」)の関係, 及び「出現喩辞」(例では「....
といれ」)と「復元喩辞」(例では「....ておいで」)の関係に着目し, 以下の
３つの分析を行った. (1)先行−後続出現喩辞間の音素列は, どれ位の長さの一致
が見られるか. (2)先行−後続出現喩辞間の音素の相違にはどのような特徴がある
か. (3)出現−復元喩辞間の音素の相違にはどのような特徴があるか. その結果,
出現喩辞の音節数は先行と後続とで一致する場合が多いこと, 先行−後
続出現喩辞間及び出現−復元喩辞間の音素の相違は比較的少なく,相違がある
場合もかなり高い規則性があること, などがわかった. 以上の知見から, 計算
機による駄洒落理解手法, 即ち出現喩辞と復元喩辞を同定するアルゴリズムを
構築できる見通しが得られた.","The author aims to develop a pun recognition system as
pilot research on machine understanding techniques for rhetorical
expressions in natural language. This report describes several
phonemic features of a type of written puns called the ""separately
located type"". A pun of this type essentially consists of two
separately located words called ""actual vehicles"" which are
phonemically distorted from ""restored vehicles"". For example, a pun ""I
am angary with the Hangaryan."" consists of the former actual vehicle
""angary"" which is distorted from the restored vehicle ""angry"", and the
latter actual vehicle ""Hangaryan"" which is distorted from the restored
vehicle ""Hungar- ian"". In this report, the following comparisons are
performed for each of 203 puns : (1) The lengths of phoneme sequences
of the former actual vehicles are compared with those of the latter
ones. (2) The phonemes of the former actual vehicles are compared with
those of the latter ones. (3) The phonemes of the actual vehicles are
compared with those of the restored vehicles. Results of these
comparisons suggest that there are relativery few phonemic distortions
but they are regular. These results are useful in developing a pun
recognition system.","['まえがき', '分析のための準備', '併置型駄洒落の音素上の分析', '考察と課題', 'むすび']",,,,,,,,
V02N02-02.tex,,Design of Efficient Unification for Natural Language,,"Graph unification has become a central processing mechanism of many
natural language \hspace{0.2mm","['Motivation', 'Our Observations and Criteria', 'The Quasi-Destructive Graph Unification Algorithm', 'Empirical Results', 'Discussion: Comparison to Other Approaches', 'Conclusion']",,,,,,,,
